system,case_id,seed,single_agent_phase1_elements,multi_agent_without_negotiation_phase1_elements,multi_agent_with_negotiation_phase2_steps,negotiation_integration_verification_phase3_elements,delta_multi_without_neg_vs_single_phase1_elements,delta_multi_with_neg_vs_without_neg_phase2_steps,delta_full_vs_with_neg_phase3_elements,full_topology_valid,notes
iredev,AD,101,7,30,12,30,23,12,23,1,Protocol metrics computed from deterministic parity artifacts.
iredev,AD,202,7,30,12,30,23,12,23,1,Protocol metrics computed from deterministic parity artifacts.
iredev,AD,303,7,30,12,30,23,12,23,1,Protocol metrics computed from deterministic parity artifacts.
iredev,ATM,101,7,30,12,30,23,12,23,1,Protocol metrics computed from deterministic parity artifacts.
iredev,ATM,202,7,30,12,30,23,12,23,1,Protocol metrics computed from deterministic parity artifacts.
iredev,ATM,303,7,30,12,30,23,12,23,1,Protocol metrics computed from deterministic parity artifacts.
iredev,Bookkeeping,101,6,30,12,30,24,12,23,1,Protocol metrics computed from deterministic parity artifacts.
iredev,Bookkeeping,202,6,30,12,30,24,12,23,1,Protocol metrics computed from deterministic parity artifacts.
iredev,Bookkeeping,303,6,30,12,30,24,12,23,1,Protocol metrics computed from deterministic parity artifacts.
iredev,Library,101,7,30,12,30,23,12,23,1,Protocol metrics computed from deterministic parity artifacts.
iredev,Library,202,7,30,12,30,23,12,23,1,Protocol metrics computed from deterministic parity artifacts.
iredev,Library,303,7,30,12,30,23,12,23,1,Protocol metrics computed from deterministic parity artifacts.
iredev,RollCall,101,6,30,12,30,24,12,23,1,Protocol metrics computed from deterministic parity artifacts.
iredev,RollCall,202,6,30,12,30,24,12,23,1,Protocol metrics computed from deterministic parity artifacts.
iredev,RollCall,303,6,30,12,30,24,12,23,1,Protocol metrics computed from deterministic parity artifacts.
mare,AD,101,7,22,10,22,15,10,16,1,Protocol metrics computed from deterministic parity artifacts.
mare,AD,202,7,22,10,22,15,10,16,1,Protocol metrics computed from deterministic parity artifacts.
mare,AD,303,7,22,10,22,15,10,16,1,Protocol metrics computed from deterministic parity artifacts.
mare,ATM,101,7,21,10,21,14,10,15,1,Protocol metrics computed from deterministic parity artifacts.
mare,ATM,202,7,21,10,21,14,10,15,1,Protocol metrics computed from deterministic parity artifacts.
mare,ATM,303,7,21,10,21,14,10,15,1,Protocol metrics computed from deterministic parity artifacts.
mare,Bookkeeping,101,6,21,10,21,15,10,15,1,Protocol metrics computed from deterministic parity artifacts.
mare,Bookkeeping,202,6,21,10,21,15,10,15,1,Protocol metrics computed from deterministic parity artifacts.
mare,Bookkeeping,303,6,21,10,21,15,10,15,1,Protocol metrics computed from deterministic parity artifacts.
mare,Library,101,7,21,10,21,14,10,15,1,Protocol metrics computed from deterministic parity artifacts.
mare,Library,202,7,21,10,21,14,10,15,1,Protocol metrics computed from deterministic parity artifacts.
mare,Library,303,7,21,10,21,14,10,15,1,Protocol metrics computed from deterministic parity artifacts.
mare,RollCall,101,6,21,10,21,15,10,15,1,Protocol metrics computed from deterministic parity artifacts.
mare,RollCall,202,6,21,10,21,15,10,15,1,Protocol metrics computed from deterministic parity artifacts.
mare,RollCall,303,6,21,10,21,15,10,15,1,Protocol metrics computed from deterministic parity artifacts.
quare,AD,101,7,35,14,35,28,14,28,1,Protocol metrics computed from deterministic parity artifacts.
quare,AD,202,7,35,14,35,28,14,28,1,Protocol metrics computed from deterministic parity artifacts.
quare,AD,303,7,35,14,35,28,14,28,1,Protocol metrics computed from deterministic parity artifacts.
quare,ATM,101,7,35,10,35,28,10,28,1,Protocol metrics computed from deterministic parity artifacts.
quare,ATM,202,7,35,10,35,28,10,28,1,Protocol metrics computed from deterministic parity artifacts.
quare,ATM,303,7,35,10,35,28,10,28,1,Protocol metrics computed from deterministic parity artifacts.
quare,Bookkeeping,101,6,35,10,35,29,10,28,1,Protocol metrics computed from deterministic parity artifacts.
quare,Bookkeeping,202,6,35,10,35,29,10,28,1,Protocol metrics computed from deterministic parity artifacts.
quare,Bookkeeping,303,6,35,10,35,29,10,28,1,Protocol metrics computed from deterministic parity artifacts.
quare,Library,101,7,35,10,35,28,10,28,1,Protocol metrics computed from deterministic parity artifacts.
quare,Library,202,7,35,10,35,28,10,28,1,Protocol metrics computed from deterministic parity artifacts.
quare,Library,303,7,35,10,35,28,10,28,1,Protocol metrics computed from deterministic parity artifacts.
quare,RollCall,101,6,35,10,35,29,10,28,1,Protocol metrics computed from deterministic parity artifacts.
quare,RollCall,202,6,35,10,35,29,10,28,1,Protocol metrics computed from deterministic parity artifacts.
quare,RollCall,303,6,35,10,35,29,10,28,1,Protocol metrics computed from deterministic parity artifacts.
