run_id,case_id,seed,system,setting,model,temperature,max_tokens,round_cap,rag_enabled,rag_fallback_used,fallback_tainted,retry_used,retry_count,runtime_seconds,n_phase1_agents,n_phase1_elements,n_phase2_negotiations,n_phase2_steps,n_phase3_elements,n_phase3_connections,conflict_resolution_rate,chv,mdc,semantic_preservation_f1,semantic_p2_vs_p1_f1,s_logic,topology_is_valid,deterministic_is_valid,compliance_coverage,s_term,iso29148_unambiguous,iso29148_correctness,iso29148_verifiability,iso29148_set_consistency,iso29148_set_feasibility,blind_eval_run_id,judge_pipeline_hash,validation_passed,non_comparable_reason
mare-ad-single_agent-s101,AD,101,mare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.071613,1,7,0,0,7,6,0.0,0.001397,0.026496,0.931182,0.0,1.0,1,0,0.166667,1.0,5.0,3.8,1.333334,5.0,1.400001,,0dd214854aad9df58e5c633d44f4943502ced4e5c8e238a4073469e5b4a6a7f6,True,single_agent_baseline_partial_phase_equivalence
iredev-ad-single_agent-s101,AD,101,iredev,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.071396,1,7,0,0,7,6,0.0,0.001397,0.026496,0.931182,0.0,1.0,1,0,0.166667,1.0,5.0,3.8,1.333334,5.0,1.400001,,0dd214854aad9df58e5c633d44f4943502ced4e5c8e238a4073469e5b4a6a7f6,True,single_agent_baseline_partial_phase_equivalence
quare-ad-single_agent-s101,AD,101,quare,single_agent,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.077569,1,7,0,0,7,6,0.0,0.001397,0.026496,0.931182,0.0,1.0,1,0,0.166667,1.0,5.0,3.8,1.333334,5.0,1.400001,,0dd214854aad9df58e5c633d44f4943502ced4e5c8e238a4073469e5b4a6a7f6,True,single_agent_baseline_partial_phase_equivalence
mare-ad-multi_agent_without_negotiation-s101,AD,101,mare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,False,0,1.668149,5,22,0,0,22,17,0.0,0.003847,0.783748,0.908281,0.0,1.0,1,0,0.1,1.0,5.0,3.8,1.2,5.0,1.24,,0dd214854aad9df58e5c633d44f4943502ced4e5c8e238a4073469e5b4a6a7f6,False,negotiation_and_verification_not_executed_for_setting
iredev-ad-multi_agent_without_negotiation-s101,AD,101,iredev,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,False,0,1.733088,6,30,0,0,30,24,0.0,0.008333,0.731039,0.921063,0.0,1.0,1,0,0.1,1.0,5.0,3.8,1.2,5.0,1.24,,0dd214854aad9df58e5c633d44f4943502ced4e5c8e238a4073469e5b4a6a7f6,False,negotiation_and_verification_not_executed_for_setting
quare-ad-multi_agent_without_negotiation-s101,AD,101,quare,multi_agent_without_negotiation,gpt-4o-mini,0.7,4000,3,True,False,False,False,0,0.034742,5,35,0,0,35,30,0.0,0.00305,0.666104,0.948321,0.0,1.0,1,0,0.9,0.666667,4.266667,3.8,2.8,5.0,3.16,,0dd214854aad9df58e5c633d44f4943502ced4e5c8e238a4073469e5b4a6a7f6,True,negotiation_and_verification_not_executed_for_setting
mare-ad-multi_agent_with_negotiation-s101,AD,101,mare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,False,0,1.832538,5,22,5,10,6,5,1.0,8.7e-05,0.753384,0.871684,0.935075,1.0,1,0,0.0,1.0,5.0,3.8,1.0,5.0,1.0,,0dd214854aad9df58e5c633d44f4943502ced4e5c8e238a4073469e5b4a6a7f6,False,verification_not_executed_for_setting
iredev-ad-multi_agent_with_negotiation-s101,AD,101,iredev,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,False,0,0.176107,6,30,6,12,7,6,0.0,0.00589,0.69487,0.918371,1.0,1.0,1,0,0.033333,1.0,5.0,3.8,1.066666,5.0,1.079999,,0dd214854aad9df58e5c633d44f4943502ced4e5c8e238a4073469e5b4a6a7f6,False,verification_not_executed_for_setting
quare-ad-multi_agent_with_negotiation-s101,AD,101,quare,multi_agent_with_negotiation,gpt-4o-mini,0.7,4000,3,True,False,True,False,0,0.124706,5,35,5,14,7,6,1.0,0.000194,0.630732,0.938626,1.0,1.0,1,0,0.233333,1.0,5.0,3.8,1.466666,5.0,1.559999,,0dd214854aad9df58e5c633d44f4943502ced4e5c8e238a4073469e5b4a6a7f6,False,verification_not_executed_for_setting
mare-ad-negotiation_integration_verification-s101,AD,101,mare,negotiation_integration_verification,gpt-4o-mini,0.7,4000,3,True,False,True,False,0,0.08276,5,22,5,10,22,17,1.0,0.00385,0.783736,0.876452,0.935075,1.0,1,1,0.1,1.0,5.0,5.0,3.2,5.0,2.84,,0dd214854aad9df58e5c633d44f4943502ced4e5c8e238a4073469e5b4a6a7f6,False,
