system,case_id,setting,runs,valid_runs,invalid_runs,mean_runtime_seconds,std_runtime_seconds,mean_phase1_elements,std_phase1_elements,mean_phase2_steps,std_phase2_steps,mean_phase3_elements,std_phase3_elements,mean_conflict_resolution_rate,std_conflict_resolution_rate,mean_topology_valid,std_topology_valid
iredev,AD,multi_agent_with_negotiation,3,0,3,0.168055,0.013379,30.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
iredev,AD,multi_agent_without_negotiation,3,0,3,0.675421,0.747897,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0
iredev,AD,negotiation_integration_verification,3,0,3,0.169505,0.010368,30.0,0.0,12.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0
iredev,AD,single_agent,3,3,0,0.039072,0.022875,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
iredev,ATM,multi_agent_with_negotiation,3,0,3,0.172789,0.037251,30.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
iredev,ATM,multi_agent_without_negotiation,3,0,3,0.143617,0.019374,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0
iredev,ATM,negotiation_integration_verification,3,0,3,0.150031,0.005565,30.0,0.0,12.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0
iredev,ATM,single_agent,3,3,0,0.040757,0.01339,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
iredev,Bookkeeping,multi_agent_with_negotiation,3,0,3,0.152108,0.034626,30.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
iredev,Bookkeeping,multi_agent_without_negotiation,3,0,3,0.142112,0.01118,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0
iredev,Bookkeeping,negotiation_integration_verification,3,0,3,0.132369,0.002021,30.0,0.0,12.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0
iredev,Bookkeeping,single_agent,3,3,0,0.012444,0.001507,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
iredev,Library,multi_agent_with_negotiation,3,0,3,0.125775,0.015106,30.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
iredev,Library,multi_agent_without_negotiation,3,0,3,0.181468,0.038663,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0
iredev,Library,negotiation_integration_verification,3,0,3,0.134589,0.011318,30.0,0.0,12.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0
iredev,Library,single_agent,3,3,0,0.013022,0.001889,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
iredev,RollCall,multi_agent_with_negotiation,3,0,3,0.147623,0.022186,30.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
iredev,RollCall,multi_agent_without_negotiation,3,0,3,0.118018,0.00685,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0
iredev,RollCall,negotiation_integration_verification,3,0,3,0.123995,0.008102,30.0,0.0,12.0,0.0,30.0,0.0,0.0,0.0,1.0,0.0
iredev,RollCall,single_agent,3,3,0,0.019449,0.008464,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
mare,AD,multi_agent_with_negotiation,3,0,3,0.658776,0.82999,22.0,0.0,10.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0
mare,AD,multi_agent_without_negotiation,3,0,3,0.616766,0.744702,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0
mare,AD,negotiation_integration_verification,3,0,3,0.090352,0.008265,22.0,0.0,10.0,0.0,22.0,0.0,1.0,0.0,1.0,0.0
mare,AD,single_agent,3,3,0,0.052759,0.017129,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
mare,ATM,multi_agent_with_negotiation,3,0,3,0.077446,0.021015,21.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
mare,ATM,multi_agent_without_negotiation,3,0,3,0.056527,0.021406,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0
mare,ATM,negotiation_integration_verification,3,0,3,0.107905,0.039347,21.0,0.0,10.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0
mare,ATM,single_agent,3,3,0,0.027575,0.003507,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0
mare,Bookkeeping,multi_agent_with_negotiation,3,0,3,0.077686,0.005961,21.0,0.0,10.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0
